inconsistency reports: 38 | compile path: fx.symbolic_trace + torch.compile(fullgraph=True, backend=inductor, mode=None)
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-29: discontinuous | v7_0:torch.float16 n=4946 maxabs=1 scale=1 ulps=1024.0 | ops=['ReduceMax', 'Floor', 'PTMatMul', 'Softmax', 'TorchReduceSum', 'Ceil', 'Add', 'LinearInterp']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-3: discontinuous | v3_0:torch.float32 n=1 maxabs=0.03521 scale=148.5 ulps=1989.5; v2_0:torch.float32 n=149 maxabs=1.918 scale=1 ulps=16092129.0 | ops=['Constant', 'Constant', 'Div', 'Div', 'Floor', 'Tan', 'TorchReduceSum', 'Ceil', 'ReduceMean', 'Cos']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-30: int | v3_0:torch.int64 n=101 maxabs=1 scale=11 | ops=['Constant', 'LeakyReLU', 'Add', 'TrilinearInterp', 'Transpose', 'CastI64', 'Slice', 'Slice', 'Clip']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-31: discontinuous | v2_0:torch.float16 n=28 maxabs=5.562 scale=22.44 ulps=253.9 | ops=['ExpandLast3', 'Mul', 'Tan', 'ConstPad', 'Softmax', 'Sigmoid', 'Greater', 'Squeeze']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-33: lowprec | v8_0:torch.float16 n=4 maxabs=0.006348 scale=0.9995 ulps=6.5 | ops=['PTMatMul', 'LeakyReLU', 'Sin', 'TorchReduceSum', 'ReduceMax', 'ReduceMean', 'CastI32', 'Reshape']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-34: lowprec | v7_0:torch.float16 n=32 maxabs=1 scale=4252 ulps=0.2 | ops=['Constant', 'Tan', 'Flatten', 'CastI64', 'PTMatMul', 'LinearInterp', 'Sub', 'Ceil', 'Transpose']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-35: discontinuous | v7_0:torch.float16 n=7 maxabs=1 scale=26 ulps=39.4 | ops=['ReduceMean', 'ReLU', 'GELU', 'Cos', 'Max', 'Mul', 'Floor', 'Reshape']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-36: int | v5_0:torch.int64 n=5 maxabs=8 scale=14 | ops=['Ceil', 'Atan', 'ArgMin', 'Flatten', 'Atan', 'CastF32', 'BatchNorm2d', 'PReLU']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-37: lowprec | v6_0:torch.float16 n=781 maxabs=0.006104 scale=0.8413 ulps=7.4; v0_0:torch.float16 n=1078 maxabs=0.007812 scale=1 ulps=8.0; v1_0:torch.int64 n=124 maxabs=1 scale=1 | ops=['Constant', 'Floor', 'Mul', 'Slice', 'Cos', 'GELU', 'Cos', 'TorchReduceSum', 'CastI64']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-38: int | v0_0:torch.bool n=1 maxabs=1 scale=1 | ops=['Constant', 'ExpandLast2', 'ReLU', 'Add', 'Add', 'GELU', 'PTMatMul', 'Tan', 'Greater']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-39: discontinuous | v8_0:torch.float64 n=1 maxabs=0.003686 scale=0.2275 ulps=72945872021952.3 | ops=['Constant', 'Mul', 'Sin', 'ExpandLast4', 'Sub', 'Greater', 'CastF64', 'CastF64', 'ExpandLast3']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-4: discontinuous | v9_0:torch.float16 n=70 maxabs=0.02661 scale=0.9795 ulps=27.8; v5_0:torch.float16 n=206 maxabs=0.1062 scale=1 ulps=108.8 | ops=['Constant', 'Flatten', 'Tan', 'Ceil', 'Concat3', 'ReduceMean', 'Cos', 'AvgPool2d', 'Reshape']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-5: discontinuous | v0_0:torch.float16 n=1 maxabs=1 scale=12 ulps=85.3 | ops=['Constant', 'Round', 'Sin', 'Constant', 'ExpandLast1', 'Round', 'ReduceMean', 'Concat3', 'TorchReduceSum', 'Round']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-6: int | v5_0:torch.int32 n=63 maxabs=1 scale=689 | ops=['Transpose', 'Tan', 'ExpandLast2', 'ReLU', 'Div', 'Slice', 'CastI32', 'Max']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-7: discontinuous | v1_0:torch.float16 n=1 maxabs=1 scale=31 ulps=33.0 | ops=['Slice', 'Constant', 'Max', 'ExpandLast3', 'ReduceMin', 'Clip', 'ReduceMin', 'PTMatMul', 'Ceil']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-8: LARGE | v4_0:torch.float16 n=1071 maxabs=187 scale=689 ulps=277.9 | ops=['LeakyReLU', 'ReduceMax', 'Constant', 'Concat4', 'BilinearInterp', 'Transpose', 'Tan', 'Flatten', 'Concat3']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-9: overflow | v1_0:torch.float16 n=1913 maxabs=9267 scale=2066 ulps=4593.1; v0_0:torch.float16 n=1950 maxabs=1.568 scale=0.7852 ulps=2044.8; v2_0:torch.float16 n=1950 maxabs=1.68 scale=0.8413 ulps=2045.0 | ops=['Constant', 'Div', 'Tan', 'Flatten', 'PTMatMul', 'Sin', 'Add', 'Atan', 'Sin']
summary: {'int': 10, 'lowprec': 12, 'overflow': 1, 'discontinuous': 13, 'LARGE': 2, 'trace': 0, 'not_reproduced': 0, 'failed': 0}
